Month,usg_apt,fg_apt,carrier,type,Scheduled
6,JFK,LHR,VS,Passengers,85790
6,JFK,CDG,AF,Passengers,85324
6,LGA,YYZ,AC,Passengers,82389
6,JFK,LHR,BA,Passengers,79975
6,LAX,YYZ,AC,Passengers,73172
6,IAH,CUN,UA,Passengers,67015
6,LAX,MEX,AM,Passengers,65577
6,JFK,MEX,AM,Passengers,63497
6,ATL,CUN,DL,Passengers,62734
6,DFW,CUN,AA,Passengers,62373
6,DTW,AMS,DL,Passengers,61353
6,BOS,LHR,BA,Passengers,60056
6,JFK,LHR,AA,Passengers,60055
6,DFW,LHR,AA,Passengers,58939
6,JFK,STI,B6,Passengers,58499
6,JFK,SVO,SU,Passengers,57599
6,SFO,YYZ,AC,Passengers,57120
6,ORD,LHR,AA,Passengers,56929
6,JFK,DXB,EK,Passengers,54439
6,SFO,HKG,CX,Passengers,52873
6,ATL,YYZ,DL,Passengers,52017
6,JFK,SDQ,B6,Passengers,51753
6,MIA,LHR,BA,Passengers,51533
6,LGA,YYZ,WS,Passengers,51287
6,JFK,IST,TK,Passengers,51197
6,MIA,PTY,CM,Passengers,51054
6,EWR,LHR,UA,Passengers,49901
6,LAX,HKG,CX,Passengers,49185
6,MSP,AMS,DL,Passengers,48209
6,JFK,FCO,AZ,Passengers,48156
6,LAX,CDG,AF,Passengers,47972
6,JFK,FRA,LH,Passengers,47176
6,ATL,AMS,DL,Passengers,47147
6,LAX,PEK,CA,Passengers,46915
6,JFK,AMS,KL,Passengers,46873
6,ATL,CDG,AF,Passengers,46578
6,LAX,ICN,OZ,Passengers,44630
6,JFK,HKG,CX,Passengers,44393
6,HNL,NRT,JL,Passengers,44301
6,LAX,ICN,KE,Passengers,43913
6,SFO,CDG,AF,Passengers,43504
6,MIA,CUN,AA,Passengers,43377
6,JFK,LGW,DI,Passengers,43320
6,LAX,MNL,PR,Passengers,42641
6,SFO,LHR,BA,Passengers,42460
6,SFO,TPE,BR,Passengers,41712
6,IAD,CDG,AF,Passengers,41684
6,MIA,HAV,AA,Passengers,41669
6,JFK,ICN,KE,Passengers,41605
6,MCO,PTY,CM,Passengers,41248
6,EWR,CUN,UA,Passengers,40842
6,LAX,TPE,BR,Passengers,40618
6,LAX,YVR,AC,Passengers,40337
6,ORD,LHR,BA,Passengers,40219
6,LAX,FRA,LH,Passengers,40127
6,ATL,NAS,DL,Passengers,40125
6,ORD,FRA,LH,Passengers,39092
6,MIA,GRU,JJ,Passengers,38917
6,EWR,YTZ,PD,Passengers,38827
6,MCO,LGW,VS,Passengers,38440
6,JFK,MAD,IB,Passengers,38346
6,JFK,DOH,QR,Passengers,37477
6,BOS,DUB,EI,Passengers,37080
6,DFW,SJD,AA,Passengers,36679
6,EWR,TLV,UA,Passengers,36579
6,ATL,MBJ,DL,Passengers,36517
6,ORD,DUB,EI,Passengers,36425
6,IAH,MEX,UA,Passengers,36334
6,JFK,TLV,LY,Passengers,36143
6,SFO,YVR,UA,Passengers,35531
6,IAD,LHR,UA,Passengers,35235
6,LAX,LHR,BA,Passengers,35088
6,JFK,DUB,EI,Passengers,35073
6,DFW,MEX,AA,Passengers,35059
6,JFK,PEK,CA,Passengers,35013
6,JFK,BOG,AV,Passengers,34950
6,SFO,FRA,UA,Passengers,34334
6,SFO,LHR,UA,Passengers,34307
6,CLT,MBJ,AA,Passengers,34283
6,ORD,LHR,UA,Passengers,34205
6,BOS,FRA,LH,Passengers,33969
6,ATL,MEX,DL,Passengers,33900
6,LAX,LHR,AA,Passengers,33357
6,LAX,CAN,CZ,Passengers,33271
6,ATL,FCO,DL,Passengers,33053
6,IAD,LHR,BA,Passengers,32881
6,MIA,SDQ,AA,Passengers,32879
6,MIA,MAD,IB,Passengers,32796
6,LAX,PVG,MU,Passengers,32621
6,LAX,GDL,Y4,Passengers,32436
6,SFO,AMS,KL,Passengers,32338
6,MIA,GRU,AA,Passengers,32322
6,SFO,MNL,PR,Passengers,32303
6,ORD,YVR,UA,Passengers,32277
6,IAD,FRA,LH,Passengers,32187
6,LAX,CUN,UA,Passengers,32027
6,CLT,CUN,AA,Passengers,31834
6,ATL,CDG,DL,Passengers,31420
6,DFW,PVR,AA,Passengers,31080
6,JFK,ATH,DL,Passengers,31045
6,JFK,PVG,MU,Passengers,30951
6,ORD,MUC,LH,Passengers,30529
6,EWR,PUJ,UA,Passengers,30281
6,LAX,AMS,KL,Passengers,30265
6,HNL,NRT,NH,Passengers,30178
6,MCO,YYZ,RV,Passengers,30034
6,GUM,ICN,KE,Passengers,29360
6,SFO,ICN,KE,Passengers,29352
6,JFK,MXP,EK,Passengers,29304
6,JFK,SDQ,DL,Passengers,29256
6,CLT,LHR,AA,Passengers,29099
6,ATL,LHR,DL,Passengers,28855
6,LGA,YUL,KV,Passengers,28800
6,JFK,CAN,CZ,Passengers,28745
6,BOS,DXB,EK,Passengers,28723
6,ORD,FRA,UA,Passengers,28711
6,SEA,AMS,DL,Passengers,28663
6,LAX,AKL,NZ,Passengers,28624
6,JFK,STI,DL,Passengers,28605
6,MCO,MAN,VS,Passengers,28420
6,PHL,LHR,AA,Passengers,28411
6,GUM,NRT,UA,Passengers,28398
6,IAH,SJO,UA,Passengers,28305
6,EWR,CDG,UA,Passengers,28300
6,IAD,FRA,UA,Passengers,28280
6,ATL,PUJ,DL,Passengers,28250
6,SFO,DXB,EK,Passengers,28035
6,SFO,FRA,LH,Passengers,27932
6,MCO,LGW,BA,Passengers,27915
6,IAD,DXB,EK,Passengers,27855
6,LAX,LHR,VS,Passengers,27788
6,JFK,AMS,DL,Passengers,27746
6,SEA,LHR,BA,Passengers,27655
6,BOS,AMS,DL,Passengers,27494
6,DFW,NRT,AA,Passengers,27420
6,LAX,MUC,LH,Passengers,27282
6,SFO,PVG,UA,Passengers,27205
6,MIA,EZE,AA,Passengers,27166
6,CLT,NAS,AA,Passengers,27121
6,MIA,BOG,AV,Passengers,26886
6,LAX,MEL,QF,Passengers,26846
6,IAH,LHR,UA,Passengers,26833
6,JFK,AUH,EY,Passengers,26820
6,SFO,SIN,UA,Passengers,26676
6,BOS,KEF,FI,Passengers,26622
6,PHX,SJD,AA,Passengers,26575
6,LAX,DXB,EK,Passengers,26566
6,JFK,KIN,B6,Passengers,26561
6,MIA,PUJ,AA,Passengers,26436
6,LAX,YVR,WS,Passengers,26410
6,LAS,YYZ,RV,Passengers,26259
6,MIA,FRA,LH,Passengers,26217
6,LAX,NRT,NH,Passengers,26153
6,LAS,YYC,WS,Passengers,26150
6,CLT,PUJ,AA,Passengers,26091
6,IAH,FRA,LH,Passengers,26090
